datetime;open;high;low;close;volume
0: 2021-03-25;2044.81006;2058.70996;2010.72998;2044.35999;1418907
1: 2021-03-24;2065.37012;2078.20996;2041.55505;2045.06006;1154029
2: 2021-03-23;2051.69995;2072.30200;2039.21997;2052.95996;1366300
3: 2021-03-22;2041.83997;2057.98999;2026.06995;2038.58997;1954816
4: 2021-03-19;2042.05005;2053.10010;2017.68005;2043.19995;2314400
5: 2021-03-18;2061.00000;2075.50000;2033.55005;2036.21997;1361400
6: 2021-03-17;2076.03003;2109.78003;2054.00000;2091.08008;1297500
7: 2021-03-16;2078.98999;2123.56006;2070.00000;2092.52002;1490600
8: 2021-03-15;2062.30005;2067.06006;2043.81226;2066.48999;1298325
9: 2021-03-12;2085.00000;2090.26001;2047.55005;2061.91992;1725000
